Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;7499;0,0134;2024-09-30 11:01:17
Advogado;11074;0,0199;2024-09-30 11:01:17
Agenciador de Propaganda;98;0,0002;2024-09-30 11:01:17
Agente Administrativo;3977;0,0071;2024-09-30 11:01:17
Agente Postal;284;0,0005;2024-09-30 11:01:17
Agente de Saúde e Sanitarista;3866;0,0069;2024-09-30 11:01:17
Agente de Serviços Funerários e Embalsamador;125;0,0002;2024-09-30 11:01:17
Agente de Viagem;139;0,0002;2024-09-30 11:01:17
Agricultor;38070;0,0683;2024-09-30 11:01:17
Agrônomo;535;0,001;2024-09-30 11:01:17
Alfaiate e Costureiro;423;0,0008;2024-09-30 11:01:17
Almoxarife;349;0,0006;2024-09-30 11:01:17
Analista de Sistemas;347;0,0006;2024-09-30 11:01:17
Antropólogo;8;0;2024-09-30 11:01:17
Aposentado (Exceto Servidor Público);19475;0,0349;2024-09-30 11:01:17
Arqueólogo;7;0;2024-09-30 11:01:17
Arquiteto;457;0,0008;2024-09-30 11:01:17
Arquivista e Museólogo;20;0;2024-09-30 11:01:17
Artesão;1124;0,002;2024-09-30 11:01:17
Artista Plástico e Assemelhados;272;0,0005;2024-09-30 11:01:17
Artista de Circo;53;0,0001;2024-09-30 11:01:17
Assistente Social;2257;0,004;2024-09-30 11:01:17
Astrólogo;6;0;2024-09-30 11:01:17
Astrônomo;100;0,0002;2024-09-30 11:01:17
Atendente de Lanchonete e Restaurante;519;0,0009;2024-09-30 11:01:17
Atleta Profissional e Técnico em Desportos;326;0,0006;2024-09-30 11:01:17
Ator e Diretor de Espetáculos Públicos;167;0,0003;2024-09-30 11:01:17
Auxiliar de Escritório e Assemelhados;4442;0,008;2024-09-30 11:01:17
Auxiliar de Laboratório;199;0,0004;2024-09-30 11:01:17
Bacteriologista e Assemelhados;5;0;2024-09-30 11:01:17
Bancário e Economiário;644;0,0012;2024-09-30 11:01:17
Bibliotecário;64;0,0001;2024-09-30 11:01:17
Biomédico;154;0,0003;2024-09-30 11:01:17
Biólogo;300;0,0005;2024-09-30 11:01:17
Bombeiro Civil;386;0,0007;2024-09-30 11:01:17
Bombeiro Militar;350;0,0006;2024-09-30 11:01:17
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;89;0,0002;2024-09-30 11:01:17
Cabeleireiro e Barbeiro;5962;0,0107;2024-09-30 11:01:17
Cantor e Compositor;786;0,0014;2024-09-30 11:01:17
Capitalista de Ativos Financeiros;7;0;2024-09-30 11:01:17
Carpinteiro, Marceneiro e Assemelhados;1306;0,0023;2024-09-30 11:01:17
Carvoeiro;26;0;2024-09-30 11:01:17
Catador de Recicláveis;234;0,0004;2024-09-30 11:01:17
Ceramista e Oleiro;76;0,0001;2024-09-30 11:01:17
Chapeleiro;4;0;2024-09-30 11:01:17
Chaveiro;97;0,0002;2024-09-30 11:01:17
Cientista Político;42;0,0001;2024-09-30 11:01:17
Cobrador de Transporte Coletivo;191;0,0003;2024-09-30 11:01:17
Comandante de Embarcações;16;0;2024-09-30 11:01:17
Comerciante;30767;0,0552;2024-09-30 11:01:17
Comerciário;2672;0,0048;2024-09-30 11:01:17
Comissário de Bordo;7;0;2024-09-30 11:01:17
Comunicólogo;114;0,0002;2024-09-30 11:01:17
Contador;2206;0,004;2024-09-30 11:01:17
Controlador de Tráfego Aéreo;1;0;2024-09-30 11:01:17
Coreógrafo e Bailarino;55;0,0001;2024-09-30 11:01:17
Corretor de Imóveis, Seguros, Títulos e Valores;2644;0,0047;2024-09-30 11:01:17
Cortador, Polidor e Gravador de Pedras;18;0;2024-09-30 11:01:17
Coveiro;59;0,0001;2024-09-30 11:01:17
Cozinheiro;1870;0,0034;2024-09-30 11:01:17
Decorador;158;0,0003;2024-09-30 11:01:17
Demonstrador;16;0;2024-09-30 11:01:17
Deputado;183;0,0003;2024-09-30 11:01:17
Desenhista;166;0,0003;2024-09-30 11:01:17
Despachante;400;0,0007;2024-09-30 11:01:17
Detetive Particular;39;0,0001;2024-09-30 11:01:17
Digitador;127;0,0002;2024-09-30 11:01:17
Diplomata;1;0;2024-09-30 11:01:17
Diretor de Empresas;191;0,0003;2024-09-30 11:01:17
Diretor de Estabelecimento de Ensino;361;0,0006;2024-09-30 11:01:17
Dona de Casa;22332;0,04;2024-09-30 11:01:17
Economista;327;0,0006;2024-09-30 11:01:17
Economista Doméstico;16;0;2024-09-30 11:01:17
Eletricista e Assemelhados;2621;0,0047;2024-09-30 11:01:17
Embalador, Empacotador e Assemelhados;228;0,0004;2024-09-30 11:01:17
Empregado Doméstico;1351;0,0024;2024-09-30 11:01:17
Empresário;33422;0,0599;2024-09-30 11:01:17
Encanador, Soldador, Chapeador e Caldeireiro;392;0,0007;2024-09-30 11:01:17
Enfermeiro;3916;0,007;2024-09-30 11:01:17
Engenheiro;2699;0,0048;2024-09-30 11:01:17
Engraxate;6;0;2024-09-30 11:01:17
Escritor e Crítico;87;0,0002;2024-09-30 11:01:17
Escultor e Pintor;189;0,0003;2024-09-30 11:01:17
Estatístico;5;0;2024-09-30 11:01:17
Esteticista;505;0,0009;2024-09-30 11:01:17
Estivador, Carregador e Assemelhados;115;0,0002;2024-09-30 11:01:17
Estofador;80;0,0001;2024-09-30 11:01:17
Estudante, Bolsista, Estagiário e Assemelhados;8273;0,0148;2024-09-30 11:01:17
Farmacêutico;926;0,0017;2024-09-30 11:01:17
Faxineiro;992;0,0018;2024-09-30 11:01:17
Feirante, Ambulante e Mascate;536;0,001;2024-09-30 11:01:17
Ferroviário;27;0;2024-09-30 11:01:17
Fiandeiro, Tecelão, Tingidor e Assemelhados;33;0,0001;2024-09-30 11:01:17
Fiscal;495;0,0009;2024-09-30 11:01:17
Fiscal de Transporte Coletivo;47;0,0001;2024-09-30 11:01:17
Fisioterapeuta e Terapeuta Ocupacional;896;0,0016;2024-09-30 11:01:17
Fonoaudiólogo;87;0,0002;2024-09-30 11:01:17
Fotógrafo e Assemelhados;686;0,0012;2024-09-30 11:01:17
Frentista;938;0,0017;2024-09-30 11:01:17
Funileiro;245;0,0004;2024-09-30 11:01:17
Físico;7;0;2024-09-30 11:01:17
Gari ou Lixeiro;507;0,0009;2024-09-30 11:01:17
Garimpeiro;64;0,0001;2024-09-30 11:01:17
Garçom;559;0,001;2024-09-30 11:01:17
Geofísico;1;0;2024-09-30 11:01:17
Gerente;2283;0,0041;2024-09-30 11:01:17
Geógrafo;84;0,0002;2024-09-30 11:01:17
Geólogo;15;0;2024-09-30 11:01:17
Governanta;17;0;2024-09-30 11:01:17
Guardador de Veículos;8;0;2024-09-30 11:01:17
Guia de Turismo;164;0,0003;2024-09-30 11:01:17
Historiador;82;0,0001;2024-09-30 11:01:17
Industrial;631;0,0011;2024-09-30 11:01:17
Jardineiro;461;0,0008;2024-09-30 11:01:17
Joalheiro e Ourives;16;0;2024-09-30 11:01:17
Jornaleiro;42;0,0001;2024-09-30 11:01:17
Jornalista e Redator;1620;0,0029;2024-09-30 11:01:17
