Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;724;0,0277;2023-10-19 16:17:44
Advogado;1436;0,0549;2023-10-19 16:17:44
Agenciador de Propaganda;2;0,0001;2021-06-23 18:50:53
Agente Administrativo;178;0,0068;2021-06-23 18:50:53
Agente Postal;22;0,0008;2021-06-23 18:50:53
Agente de Saúde e Sanitarista;73;0,0028;2021-06-23 18:50:53
Agente de Serviços Funerários e Embalsamador;2;0,0001;2021-06-23 18:50:53
Agente de Viagem;12;0,0005;2021-06-23 18:50:53
Agricultor;199;0,0076;2021-06-23 18:50:53
Agrônomo;32;0,0012;2021-06-23 18:50:53
Alfaiate e Costureiro;10;0,0004;2021-06-23 18:50:53
Almoxarife;9;0,0003;2021-06-23 18:50:53
Analista de Sistemas;34;0,0013;2021-06-23 18:50:53
Antropólogo;1;0;2021-06-23 18:50:53
Aposentado (Exceto Servidor Público);623;0,0238;2021-06-23 18:50:53
Arquiteto;35;0,0013;2021-06-23 18:50:53
Artesão;32;0,0012;2021-06-23 18:50:53
Artista Plástico e Assemelhados;36;0,0014;2021-06-23 18:50:53
Artista de Circo;8;0,0003;2021-06-23 18:50:53
Assistente Social;107;0,0041;2021-06-23 18:50:53
Astrólogo;2;0,0001;2021-06-23 18:50:53
Astrônomo;9;0,0003;2021-06-23 18:50:53
Atendente de Lanchonete e Restaurante;3;0,0001;2021-06-23 18:50:53
Atleta Profissional e Técnico em Desportos;25;0,001;2021-06-23 18:50:53
Ator e Diretor de Espetáculos Públicos;31;0,0012;2021-06-23 18:50:53
Auxiliar de Escritório e Assemelhados;260;0,0099;2021-06-23 18:50:53
Auxiliar de Laboratório;6;0,0002;2021-06-23 18:50:53
Bacteriologista e Assemelhados;1;0;2021-06-23 18:50:53
Bancário e Economiário;125;0,0048;2023-10-19 16:17:44
Bibliotecário;4;0,0002;2021-06-23 18:50:53
Biomédico;9;0,0003;2021-06-23 18:50:53
Biólogo;35;0,0013;2021-06-23 18:50:53
Bombeiro Civil;7;0,0003;2021-06-23 18:50:53
Bombeiro Militar;127;0,0049;2021-06-23 18:50:53
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;1;0;2021-06-23 18:50:53
Cabeleireiro e Barbeiro;145;0,0055;2021-06-23 18:50:53
Cantor e Compositor;96;0,0037;2021-06-23 18:50:53
Capitalista de Ativos Financeiros;2;0,0001;2021-06-23 18:50:53
Carpinteiro, Marceneiro e Assemelhados;18;0,0007;2021-06-23 18:50:53
Catador de Recicláveis;3;0,0001;2021-06-23 18:50:53
Ceramista e Oleiro;1;0;2021-06-23 18:50:53
Chaveiro;2;0,0001;2021-06-23 18:50:53
Cientista Político;11;0,0004;2021-06-23 18:50:53
Cobrador de Transporte Coletivo;13;0,0005;2021-06-23 18:50:53
Comandante de Embarcações;1;0;2021-06-23 18:50:53
Comerciante;1057;0,0404;2021-06-23 18:50:53
Comerciário;104;0,004;2021-06-23 18:50:53
Comunicólogo;19;0,0007;2021-06-23 18:50:53
Contador;219;0,0084;2021-06-23 18:50:53
Corretor de Imóveis, Seguros, Títulos e Valores;238;0,0091;2021-06-23 18:50:53
Coveiro;2;0,0001;2021-06-23 18:50:53
Cozinheiro;31;0,0012;2021-06-23 18:50:53
Decorador;2;0,0001;2021-06-23 18:50:53
Deputado;1071;0,0409;2023-10-19 16:17:44
Desenhista;7;0,0003;2021-06-23 18:50:53
Despachante;15;0,0006;2021-06-23 18:50:53
Detetive Particular;4;0,0002;2021-06-23 18:50:53
Digitador;8;0,0003;2021-06-23 18:50:53
Diplomata;4;0,0002;2021-06-23 18:50:53
Diretor de Empresas;48;0,0018;2021-06-23 18:50:53
