Ocupação;Quantitativo;Porcentagem;Data de carga
ADMINISTRADOR;269;0,0136;2023-03-29 11:16:54
ADVOGADO;1593;0,0803;2023-03-29 11:16:54
AGENTE ADMINISTRATIVO;96;0,0048;2023-03-29 11:16:54
AGENTE DE SAUDE E SANITARISTA;21;0,0011;2023-03-29 11:16:54
AGENTE DE VIAGEM E GUIA DE TURISMO;9;0,0005;2023-03-29 11:16:54
AGENTE POSTAL;20;0,001;2023-03-29 11:16:54
AGRICULTOR;224;0,0113;2023-03-29 11:16:54
AGRONOMO;82;0,0041;2023-03-29 11:16:54
ALFAIATE E COSTUREIRO;9;0,0005;2023-03-29 11:16:54
ALMOXARIFE;10;0,0005;2023-03-29 11:16:54
ANALISTA DE SISTEMAS;21;0,0011;2023-03-29 11:16:54
ANTROPOLOGO;8;0,0004;2023-03-29 11:16:54
APOSENTADO (EXCETO SERVIDOR PUBLICO);337;0,017;2023-03-29 11:16:54
ARQUITETO;53;0,0027;2023-03-29 11:16:54
ARTESAO;15;0,0008;2023-03-29 11:16:54
ARTISTA DE CIRCO;6;0,0003;2023-03-29 11:16:54
ASSISTENTE SOCIAL;40;0,002;2023-03-29 11:16:54
ASTRONOMO;1;0,0001;2023-03-29 11:16:54
ATENDENTE DE LANCHONETE E RESTAURANTE;1;0,0001;2023-03-29 11:16:54
ATLETA PROFISSIONAL E TECNICO EM DESPORTOS;17;0,0009;2023-03-29 11:16:54
ATOR E DIRETOR DE ESPETACULOS PUBLICOS;16;0,0008;2023-03-29 11:16:54
AUXILIAR DE ESCRITORIO E ASSEMELHADOS;80;0,004;2023-03-29 11:16:54
AUXILIAR DE LABORATORIO;5;0,0003;2023-03-29 11:16:54
BANCARIO E ECONOMIARIO;169;0,0085;2023-03-29 11:16:54
BIBLIOTECARIO, ARQUIVISTA, MUSEOLOGO E ARQUEOLOGO;1;0,0001;2023-03-29 11:16:54
BIOLOGO E BIOMEDICO;19;0,001;2023-03-29 11:16:54
BOMBEIRO CIVIL;2;0,0001;2023-03-29 11:16:54
BOMBEIRO E INSTALADOR DE GAS, AGUA, ESGOTO E ASSEMELHADOS;3;0,0002;2023-03-29 11:16:54
BOMBEIRO MILITAR;43;0,0022;2023-03-29 11:16:54
CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA;44;0,0022;2023-03-29 11:16:54
CANTOR E COMPOSITOR;33;0,0017;2023-03-29 11:16:54
CHAVEIRO;1;0,0001;2023-03-29 11:16:54
CIENTISTA POLITICO;7;0,0004;2023-03-29 11:16:54
COBRADOR DE TRANSPORTE COLETIVO;7;0,0004;2023-03-29 11:16:54
COMERCIANTE;1376;0,0694;2023-03-29 11:16:54
COMERCIARIO;106;0,0053;2023-03-29 11:16:54
COMUNICOLOGO;15;0,0008;2023-03-29 11:16:54
CONTADOR;148;0,0075;2023-03-29 11:16:54
COREOGRAFO E BAILARINO;1;0,0001;2023-03-29 11:16:54
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;150;0,0076;2023-03-29 11:16:54
COZINHEIRO;8;0,0004;2023-03-29 11:16:54
DECORADOR;8;0,0004;2023-03-29 11:16:54
DESENHISTA;20;0,001;2023-03-29 11:16:54
DESPACHANTE;26;0,0013;2023-03-29 11:16:54
DETETIVE PARTICULAR;8;0,0004;2023-03-29 11:16:54
DIGITADOR;17;0,0009;2023-03-29 11:16:54
DIPLOMATA;3;0,0002;2023-03-29 11:16:54
DIRETOR DE EMPRESAS;49;0,0025;2023-03-29 11:16:54
DIRETOR DE ESTABELECIMENTO DE ENSINO;11;0,0006;2023-03-29 11:16:54
DONA DE CASA;99;0,005;2023-03-29 11:16:54
ECONOMISTA;172;0,0087;2023-03-29 11:16:54
ECONOMISTA DOMESTICO;1;0,0001;2023-03-29 11:16:54
