Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;177;0,0118;2023-03-02 10:08:24
Advogado;1425;0,0947;2023-03-02 10:08:24
Agenciador de Propaganda;1;0,0001;2023-03-02 10:08:24
Agente Administrativo;19;0,0013;2023-03-02 10:08:24
Agente de Serviços Funerários e Embalsamador;1;0,0001;2023-03-02 10:08:24
Agente de Viagem e Guia de Turismo;7;0,0005;2023-03-02 10:08:24
Agrônomo;63;0,0042;2023-03-02 10:08:24
Alfaiate;3;0,0002;2023-03-02 10:08:24
Analista de Sistemas;26;0,0017;2023-03-02 10:08:24
Aposentado (Exceto Funcionário Público);212;0,0141;2023-03-02 10:08:24
Arquiteto;42;0,0028;2023-03-02 10:08:24
Assistente Social;33;0,0022;2023-03-02 10:08:24
Astrônomo e Meteorologista;1;0,0001;2023-03-02 10:08:24
Atleta Profissional e Técnico em Desportos;10;0,0007;2023-03-02 10:08:24
Ator e Diretor de Espetáculos Públicos;12;0,0008;2023-03-02 10:08:24
Auxiliar de Escritório e Assemelhados;68;0,0045;2023-03-02 10:08:24
Bancário e Economiário;232;0,0154;2023-03-02 10:08:24
Bibliotecário, Arquivista, Museólogo E Arqueólogo;3;0,0002;2023-03-02 10:08:24
Biólogo e Biomédico;11;0,0007;2023-03-02 10:08:24
Bombeiro e Instalador De Gás, Agua, Esgoto E Assemelhados;7;0,0005;2023-03-02 10:08:24
Cabeleireiro, Barbeiro, Manicure, Maquilador, Esteticista e Massagista;30;0,002;2023-03-02 10:08:24
Cantor e Compositor;15;0,001;2023-03-02 10:08:24
Chefe Intermediário;3;0,0002;2023-03-02 10:08:24
Comissario de Bordo;2;0,0001;2023-03-02 10:08:24
Comunicólogo;11;0,0007;2023-03-02 10:08:24
Contador;129;0,0086;2023-03-02 10:08:24
Contramestre de Embarcações;1;0,0001;2023-03-02 10:08:24
Corretor de Imóveis, Seguros, Titulos e Valores;97;0,0064;2023-03-02 10:08:24
Decorador;3;0,0002;2023-03-02 10:08:24
Delegado de Policia;69;0,0046;2023-03-02 10:08:24
Desenhista Comercial;18;0,0012;2023-03-02 10:08:24
Desenhista Industrial;1;0,0001;2023-03-02 10:08:24
Desenhista Técnico;8;0,0005;2023-03-02 10:08:24
Despachante, Inclusive o Aduaneiro;13;0,0009;2023-03-02 10:08:24
Diplomata;2;0,0001;2023-03-02 10:08:24
Diretor de Empresas;70;0,0047;2023-03-02 10:08:24
Diretor de Estabelecimento de Ensino;8;0,0005;2023-03-02 10:08:24
Economista;184;0,0122;2023-03-02 10:08:24
Eletricista de Manutenção de Veículos Automotores e Aparelhos;1;0,0001;2023-03-02 10:08:24
Eletricista e Assemelhados;44;0,0029;2023-03-02 10:08:24
Empregado Doméstico;3;0,0002;2023-03-02 10:08:24
Empresário e Produtor de Espetáculos Públicos;307;0,0204;2023-03-02 10:08:24
Enfermeiro e Nutricionista;63;0,0042;2023-03-02 10:08:24
Engenheiro;464;0,0309;2023-03-02 10:08:24
Escultor, Pintor e Assemelhados;15;0,001;2023-03-02 10:08:24
Estatístico;2;0,0001;2023-03-02 10:08:24
Estivador, Carregador, Embalador e Assemelhados;10;0,0007;2023-03-02 10:08:24
Estudante, Bolsista, Estagiário e Assemelhados;299;0,0199;2023-03-02 10:08:24
Farmacêutico;18;0,0012;2023-03-02 10:08:24
Feirante;6;0,0004;2023-03-02 10:08:24
Fiscal;18;0,0012;2023-03-02 10:08:24
Fisioterapeuta e Terapeuta Ocupacional;13;0,0009;2023-03-02 10:08:24
Funcionário Público Civil Aposentado;76;0,0051;2023-03-02 10:08:24
Garimpeiro;4;0,0003;2023-03-02 10:08:24
Gerente;47;0,0031;2023-03-02 10:08:24
Geógrafo;9;0,0006;2023-03-02 10:08:24
Geólogo;18;0,0012;2023-03-02 10:08:24
Governanta de Hotel, Camareiro, Porteiro, Cozinheiro e Garcom;8;0,0005;2023-03-02 10:08:24
Joalheiros e Ourives;4;0,0003;2023-03-02 10:08:24
Jornaleiro;1;0,0001;2023-03-02 10:08:24
Jornalista;201;0,0134;2023-03-02 10:08:24
Lanterneiro e Pintor de Veículos Metálicos;9;0,0006;2023-03-02 10:08:24
Locutor e Comentarista de Rádio e Televisão e Radialista;82;0,0055;2023-03-02 10:08:24
Maquinista e Foguista de Embarcações, Locomotivas e Assemelhados;7;0,0005;2023-03-02 10:08:24
Marinheiro e Assemelhados;8;0,0005;2023-03-02 10:08:24
Mecanico de Manutenção de Veículos Automotores e Máquinas;36;0,0024;2023-03-02 10:08:24
Mecânico de Manutenção, Operador de Aparelhos de Produção Industrial;25;0,0017;2023-03-02 10:08:24
Membros do Poder Executivo: Presidente, Ministro, Governador, Prefeito;37;0,0025;2023-03-02 10:08:24
Membros do Poder Judiciário: Ministro de Tribunal Superior, Magistrado;10;0,0007;2023-03-02 10:08:24
Membros do Poder Legislativo: Senador, Deputados e Vereador;728;0,0484;2023-03-02 10:08:24
Mestre e Contramestre;2;0,0001;2023-03-02 10:08:24
Militar Em Geral;429;0,0285;2023-03-02 10:08:24
Militar Reformado;54;0,0036;2023-03-02 10:08:24
Motorista de Veículos de Transporte de Carga;7;0,0005;2023-03-02 10:08:24
Motorista de Veículos de Transporte de Passageiros;155;0,0103;2023-03-02 10:08:24
Médico;856;0,0569;2023-03-02 10:08:24
Músico;16;0,0011;2023-03-02 10:08:24
Não Informada;887;0,059;2023-03-02 10:08:24
Ocupante de Cargo de Direção e Assessoramento Intermediário;3;0,0002;2023-03-02 10:08:24
Ocupante de Cargo de Direção e Assessoramento Superior;8;0,0005;2023-03-02 10:08:24
Odontólogo;113;0,0075;2023-03-02 10:08:24
Oficiais das Forças Armadas e Forças Auxiliares;7;0,0005;2023-03-02 10:08:24
Outros;2033;0,1352;2023-03-02 10:08:24
Pensionista;21;0,0014;2023-03-02 10:08:24
Piloto de Aeronaves;8;0,0005;2023-03-02 10:08:24
Porteiro de Edifício, Ascensorista, Garagista e Faxineiro;12;0,0008;2023-03-02 10:08:24
Procurador d Assemelhados;24;0,0016;2023-03-02 10:08:24
Professor de Ensino Superior;596;0,0396;2023-03-02 10:08:24
Professor de Ensino de Primeiro e Segundo Graus;339;0,0225;2023-03-02 10:08:24
Profissionais de Letras e de Artes;3;0,0002;2023-03-02 10:08:24
Proprietário de Estabelecimento Agrícola, da Pecuária e Florestal;129;0,0086;2023-03-02 10:08:24
Proprietário de Estabelecimento Comercial;1128;0,075;2023-03-02 10:08:24
Proprietário de Estabelecimento Industrial;125;0,0083;2023-03-02 10:08:24
Proprietário de Estabelecimento de Prestação de Servicos;8;0,0005;2023-03-02 10:08:24
Proprietário de Microempresa;60;0,004;2023-03-02 10:08:24
Protético;11;0,0007;2023-03-02 10:08:24
