Ocupação;Quantitativo;Porcentagem;Ano
Administrador;177;0,0118;1998
Advogado;1425;0,0947;1998
Agenciador de Propaganda;1;0,0001;1998
Agente Administrativo;19;0,0013;1998
Agente de Serviços Funerários e Embalsamador;1;0,0001;1998
Agente de Viagem e Guia de Turismo;7;0,0005;1998
Agrônomo;63;0,0042;1998
Alfaiate;3;0,0002;1998
Analista de Sistemas;26;0,0017;1998
Aposentado (Exceto Funcionário Público);212;0,0141;1998
Arquiteto;42;0,0028;1998
Assistente Social;33;0,0022;1998
Astrônomo e Meteorologista;1;0,0001;1998
Atleta Profissional e Técnico em Desportos;10;0,0007;1998
Ator e Diretor de Espetáculos Públicos;12;0,0008;1998
Auxiliar de Escritório e Assemelhados;68;0,0045;1998
Bancário e Economiário;232;0,0154;1998
Bibliotecário, Arquivista, Museólogo E Arqueólogo;3;0,0002;1998
Biólogo e Biomédico;11;0,0007;1998
Bombeiro e Instalador De Gás, Agua, Esgoto E Assemelhados;7;0,0005;1998
Cabeleireiro, Barbeiro, Manicure, Maquilador, Esteticista e Massagista;30;0,002;1998
Cantor e Compositor;15;0,001;1998
Chefe Intermediário;3;0,0002;1998
Comissario de Bordo;2;0,0001;1998
Comunicólogo;11;0,0007;1998
Contador;129;0,0086;1998
Contramestre de Embarcações;1;0,0001;1998
Corretor de Imóveis, Seguros, Titulos e Valores;97;0,0064;1998
Decorador;3;0,0002;1998
Delegado de Policia;69;0,0046;1998
Desenhista Comercial;18;0,0012;1998
Desenhista Industrial;1;0,0001;1998
Desenhista Técnico;8;0,0005;1998
Despachante, Inclusive o Aduaneiro;13;0,0009;1998
Diplomata;2;0,0001;1998
Diretor de Empresas;70;0,0047;1998
Diretor de Estabelecimento de Ensino;8;0,0005;1998
Economista;184;0,0122;1998
Eletricista de Manutenção de Veículos Automotores e Aparelhos;1;0,0001;1998
Eletricista e Assemelhados;44;0,0029;1998
Empregado Doméstico;3;0,0002;1998
Empresário e Produtor de Espetáculos Públicos;307;0,0204;1998
Enfermeiro e Nutricionista;63;0,0042;1998
Engenheiro;464;0,0309;1998
Escultor, Pintor e Assemelhados;15;0,001;1998
Estatístico;2;0,0001;1998
Estivador, Carregador, Embalador e Assemelhados;10;0,0007;1998
Estudante, Bolsista, Estagiário e Assemelhados;299;0,0199;1998
Farmacêutico;18;0,0012;1998
