Ocupação;Quantitativo;Porcentagem;Data de carga
Administrador;6678;0,0134;2023-03-13 15:28:45
Advogado;8316;0,0167;2023-03-13 15:28:45
Agenciador de Propaganda;95;0,0002;2023-03-13 15:28:45
Agente Administrativo;3670;0,0074;2023-03-13 15:28:45
Agente Postal;238;0,0005;2023-03-13 15:28:45
Agente de Saúde e Sanitarista;3729;0,0075;2023-03-13 15:28:45
Agente de Serviços Funerários e Embalsamador;99;0,0002;2023-03-13 15:28:45
Agente de Viagem;102;0,0002;2023-03-13 15:28:45
Agricultor;35843;0,0721;2023-03-13 15:28:45
Agrônomo;516;0,001;2023-03-13 15:28:45
Alfaiate e Costureiro;318;0,0006;2023-03-13 15:28:45
Almoxarife;302;0,0006;2023-03-13 15:28:45
Analista de Sistemas;314;0,0006;2023-03-13 15:28:45
Antropólogo;5;0;2023-03-13 15:28:45
Aposentado (Exceto Servidor Público);16311;0,0328;2023-03-13 15:28:45
Arqueólogo;6;0;2023-03-13 15:28:45
Arquiteto;319;0,0006;2023-03-13 15:28:45
Arquivista e Museólogo;13;0;2023-03-13 15:28:45
Artesão;828;0,0017;2023-03-13 15:28:45
Artista Plástico e Assemelhados;181;0,0004;2023-03-13 15:28:45
Artista de Circo;37;0,0001;2023-03-13 15:28:45
Assistente Social;1584;0,0032;2023-03-13 15:28:45
Astrólogo;4;0;2023-03-13 15:28:45
Astrônomo;179;0,0004;2023-03-13 15:28:45
Atendente de Lanchonete e Restaurante;454;0,0009;2023-03-13 15:28:45
Atleta Profissional e Técnico em Desportos;218;0,0004;2023-03-13 15:28:45
Ator e Diretor de Espetáculos Públicos;123;0,0002;2023-03-13 15:28:45
Auxiliar de Escritório e Assemelhados;4942;0,0099;2023-03-13 15:28:45
Auxiliar de Laboratório;243;0,0005;2023-03-13 15:28:45
Bacteriologista e Assemelhados;7;0;2023-03-13 15:28:45
Bancário e Economiário;763;0,0015;2023-03-13 15:28:45
Bibliotecário;56;0,0001;2023-03-13 15:28:45
Biomédico;124;0,0002;2023-03-13 15:28:45
Biólogo;210;0,0004;2023-03-13 15:28:45
Bombeiro Civil;156;0,0003;2023-03-13 15:28:45
Bombeiro Militar;282;0,0006;2023-03-13 15:28:45
Bombeiro e Instalador de Gás, Água, Esgoto e Assemelhados;83;0,0002;2023-03-13 15:28:45
Cabeleireiro e Barbeiro;4708;0,0095;2023-03-13 15:28:45
Cantor e Compositor;621;0,0012;2023-03-13 15:28:45
Capitalista de Ativos Financeiros;8;0;2023-03-13 15:28:45
Carpinteiro, Marceneiro e Assemelhados;1394;0,0028;2023-03-13 15:28:45
Carvoeiro;21;0;2023-03-13 15:28:45
Catador de Recicláveis;122;0,0002;2023-03-13 15:28:45
Ceramista e Oleiro;89;0,0002;2023-03-13 15:28:45
Chapeleiro;2;0;2023-03-13 15:28:45
Chaveiro;82;0,0002;2023-03-13 15:28:45
Cientista Político;32;0,0001;2023-03-13 15:28:45
Cobrador de Transporte Coletivo;277;0,0006;2023-03-13 15:28:45
Comandante de Embarcações;12;0;2023-03-13 15:28:45
Comerciante;32087;0,0646;2023-03-13 15:28:45
Comerciário;3522;0,0071;2023-03-13 15:28:45
Comissário de Bordo;6;0;2023-03-13 15:28:45
Comunicólogo;83;0,0002;2023-03-13 15:28:45
Contador;2042;0,0041;2023-03-13 15:28:45
Controlador de Tráfego Aéreo;6;0;2023-03-13 15:28:45
Coreógrafo e Bailarino;36;0,0001;2023-03-13 15:28:45
