Ocupação;Quantitativo;Porcentagem;Ano
AGENCIADOR DE PROPAGANDA;61;0,0002;2000
AGENTE ADMINISTRATIVO;995;0,0025;2000
AUXILIAR DE ESCRITORIO E ASSEMELHADOS;2605;0,0065;2000
Administrador;1960;0,0049;2000
Advogado;7477;0,0187;2000
Agente de Serviços Funerários e Embalsamador;39;0,0001;2000
Agente de Viagem e Guia de Turismo;124;0,0003;2000
Agrônomo;795;0,002;2000
Alfaiate;216;0,0005;2000
Analista de Sistemas;204;0,0005;2000
Aposentado (Exceto Funcionário Público);11245;0,0282;2000
Arquiteto;267;0,0007;2000
Assistente Social;432;0,0011;2000
Astrônomo e Meteorologista;1;0;2000
Atleta Profissional e Técnico em Desportos;139;0,0003;2000
Ator e Diretor de Espetáculos Públicos;78;0,0002;2000
Atuário e Matemático;6;0;2000
Auxiliar de Laboratório;374;0,0009;2000
BANCARIO E ECONOMIARIO;1846;0,0046;2000
Bibliotecário, Arquivista, Museólogo E Arqueólogo;52;0,0001;2000
Biólogo e Biomédico;143;0,0004;2000
Bombeiro e Instalador De Gás, Agua, Esgoto E Assemelhados;214;0,0005;2000
CHEFE INTERMEDIARIO;147;0,0004;2000
CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES;1449;0,0036;2000
Cabeleireiro, Barbeiro, Manicure, Maquilador, Esteticista e Massagista;2234;0,0056;2000
Cantor e Compositor;160;0,0004;2000
Capitalista de Ativos Financeiros;28;0,0001;2000
Comandante de Embarcações;14;0;2000
Comissario de Bordo;7;0;2000
Comunicólogo;62;0,0002;2000
Contador;2168;0,0054;2000
Contramestre de Embarcações;18;0;2000
Coreógrafo e Bailarino;19;0;2000
DECORADOR;69;0,0002;2000
DELEGADO DE POLICIA;283;0,0007;2000
DEMONSTRADOR;13;0;2000
DIPLOMATA;1;0;2000
DIRETOR DE EMPRESAS;440;0,0011;2000
DONA DE CASA;9410;0,0236;2000
Desenhista Comercial;121;0,0003;2000
Desenhista Industrial;35;0,0001;2000
Desenhista Técnico;157;0,0004;2000
Despachante, Inclusive o Aduaneiro;466;0,0012;2000
Diretor de Estabelecimento de Ensino;345;0,0009;2000
Economista;583;0,0015;2000
Eletricista de Manutenção de Veículos Automotores e Aparelhos;274;0,0007;2000
Eletricista e Assemelhados;2058;0,0052;2000
Empregado Doméstico;1259;0,0032;2000
Empresário e Produtor de Espetáculos Públicos;1999;0,005;2000
Enfermeiro e Nutricionista;2134;0,0053;2000
Engenheiro;2326;0,0058;2000
Escultor, Pintor e Assemelhados;368;0,0009;2000
Espólio;1;0;2000
Estatístico;6;0;2000
Estivador, Carregador, Embalador e Assemelhados;195;0,0005;2000
Estudante, Bolsista, Estagiário e Assemelhados;6514;0,0163;2000
FEIRANTE;254;0,0006;2000
FISCAL;380;0,001;2000
Farmacêutico;426;0,0011;2000
Fisioterapeuta e Terapeuta Ocupacional;151;0,0004;2000
Fonoaudiólogo;12;0;2000
Funcionário Público Civil Aposentado;2528;0,0063;2000
Físico;3;0;2000
GERENTE;1121;0,0028;2000
Garimpeiro;170;0,0004;2000
Geógrafo;28;0,0001;2000
Geólogo;36;0,0001;2000
Governanta de Hotel, Camareiro, Porteiro, Cozinheiro e Garcom;405;0,001;2000
JORNALEIRO;57;0,0001;2000
Joalheiros e Ourives;64;0,0002;2000
Jornalista;648;0,0016;2000
LEILOEIRO, AVALIADOR E ASSEMELHADOS;16;0;2000
Lanterneiro e Pintor de Veículos Metálicos;267;0,0007;2000
Locutor e Comentarista de Rádio e Televisão e Radialista;1585;0,004;2000
MEMBROS DO PODER EXECUTIVO: PRESIDENTE, MINISTRO, GOVERNADOR, PREFEITO;665;0,0017;2000
MEMBROS DO PODER LEGISLATIVO: SENADOR, DEPUTADOS E VEREADOR;4834;0,0121;2000
MILITAR EM GERAL;3591;0,009;2000
MODELO DE MODAS;24;0,0001;2000
Maquinista e Foguista de Embarcações, Locomotivas e Assemelhados;103;0,0003;2000
Marinheiro e Assemelhados;132;0,0003;2000
Mecanico de Manutenção de Veículos Automotores e Máquinas;3183;0,008;2000
Mecânico de Manutenção, Operador de Aparelhos de Produção Industrial;885;0,0022;2000
Membros do Poder Judiciário: Ministro de Tribunal Superior, Magistrado;14;0;2000
Mestre e Contramestre;241;0,0006;2000
Militar Reformado;1290;0,0032;2000
Motorista de Veículos de Transporte de Carga;6397;0,016;2000
Motorista de Veículos de Transporte de Passageiros;12631;0,0316;2000
Médico;4656;0,0117;2000
Músico;620;0,0016;2000
OCUPANTE DE CARGO DE DIRECAO E ASSESSORAMENTO INTERMEDIARIO;108;0,0003;2000
OCUPANTE DE CARGO DE DIRECAO E ASSESSORAMENTO SUPERIOR;525;0,0013;2000
OFICIAIS DAS FORCAS ARMADAS E FORCAS AUXILIARES;60;0,0002;2000
Odontólogo;1407;0,0035;2000
Operador de Câmeras de Cinema e Televisão;65;0,0002;2000
PROCURADOR E ASSEMELHADOS;50;0,0001;2000
Pensionista;318;0,0008;2000
Piloto de Aeronaves;28;0,0001;2000
Porteiro de Edifício, Ascensorista, Garagista e Faxineiro;443;0,0011;2000
Professor de Ensino Superior;3368;0,0084;2000
Professor de Ensino de Primeiro e Segundo Graus;21240;0,0532;2000
Profissionais de Letras e de Artes;93;0,0002;2000
Proprietário de Estabelecimento Agrícola, da Pecuária e Florestal;7635;0,0191;2000
Proprietário de Estabelecimento Comercial;36971;0,0926;2000
Proprietário de Estabelecimento Industrial;1430;0,0036;2000
Proprietário de Estabelecimento de Prestação de Servicos;589;0,0015;2000
Proprietário de Imóvel, Recebendo Rendimento de Aluguel;56;0,0001;2000
Proprietário de Microempresa;2569;0,0064;2000
Protético;406;0,001;2000
Psicólogo;280;0,0007;2000
Publicitário;406;0,001;2000
Químico;144;0,0004;2000
Relações Públicas;140;0,0004;2000
SECRETARIO, ESTENOGRAFO, DATILOGRAFO, RECEPCIONISTA, TELEFONISTA, ETC;1394;0,0035;2000
SECURITARIO;95;0,0002;2000
SERVENTUARIO DE JUSTICA;593;0,0015;2000
SERVIDOR PUBLICO ESTADUAL;10759;0,0269;2000
SERVIDOR PUBLICO FEDERAL;2455;0,0061;2000
SERVIDOR PUBLICO MUNICIPAL;19301;0,0483;2000
SUPERVISORES, INSPETOR E AGENTE DE COMPRAS E VENDAS;345;0,0009;2000
Sacerdote ou Membro de Ordens ou Seitas Religiosas;965;0,0024;2000
Sociólogo;93;0,0002;2000
TABELIAO;135;0,0003;2000
TRABALHADOR DOS SERVICOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS;230;0,0006;2000
Tecnólogo;68;0,0002;2000
Trabalhador Agrícola;51953;0,1301;2000
Trabalhador Florestal;99;0,0002;2000
Trabalhador Metalúrgico E Siderúrgico;1161;0,0029;2000
Trabalhador da Pecuária;2840;0,0071;2000
Trabalhador da Pesca;737;0,0018;2000
Trabalhador de Artes Gráficas;213;0,0005;2000
Trabalhador de Construção Civil;7300;0,0183;2000
Trabalhador de Fabricação de Artefatos de Madeira;1174;0,0029;2000
Trabalhador de Fabricação de Calçaados e Artefatos de Couro;414;0,001;2000
Trabalhador de Fabricação de Papel e Papelão;77;0,0002;2000
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);212;0,0005;2000
Trabalhador de Fabricação de Produtos de Borracha e Plástico;49;0,0001;2000
Trabalhador de Fabricação de Roupas;583;0,0015;2000
